title,author,published_year
1984,George Orwell,1949
Animal Farm,George Orwell,1945
Brave New World,Aldous Huxley,1932
Fahrenheit 451,Ray Bradbury,1953
The Great Gatsby,F. Scott Fitzgerald,1925
To Kill a Mockingbird,Harper Lee,1960
Moby-Dick,Herman Melville,1851
War and Peace,Leo Tolstoy,1869
Anna Karenina,Leo Tolstoy,1877
Crime and Punishment,Fyodor Dostoevsky,1866
The Brothers Karamazov,Fyodor Dostoevsky,1880
Pride and Prejudice,Jane Austen,1813
Sense and Sensibility,Jane Austen,1811
Jane Eyre,Charlotte Brontë,1847
Wuthering Heights,Emily Brontë,1847
Great Expectations,Charles Dickens,1861
Oliver Twist,Charles Dickens,1838
David Copperfield,Charles Dickens,1850
The Catcher in the Rye,J.D. Salinger,1951
The Hobbit,J.R.R. Tolkien,1937
The Lord of the Rings,J.R.R. Tolkien,1954
The Silmarillion,J.R.R. Tolkien,1977
Harry Potter and the Sorcerer's Stone,J.K. Rowling,1997
Harry Potter and the Chamber of Secrets,J.K. Rowling,1998
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,1999
Harry Potter and the Goblet of Fire,J.K. Rowling,2000
Harry Potter and the Order of the Phoenix,J.K. Rowling,2003
Harry Potter and the Half-Blood Prince,J.K. Rowling,2005
Harry Potter and the Deathly Hallows,J.K. Rowling,2007
The Da Vinci Code,Dan Brown,2003
Angels & Demons,Dan Brown,2000
Inferno,Dan Brown,2013
The Alchemist,Paulo Coelho,1988
The Little Prince,Antoine de Saint-Exupéry,1943
The Road,Cormac McCarthy,2006
No Country for Old Men,Cormac McCarthy,2005
The Shining,Stephen King,1977
It,Stephen King,1986
Misery,Stephen King,1987
Carrie,Stephen King,1974
The Stand,Stephen King,1978
Dune,Frank Herbert,1965
Foundation,Isaac Asimov,1951
I, Robot,Isaac Asimov,1950
Neuromancer,William Gibson,1984
Snow Crash,Neal Stephenson,1992
The Name of the Wind,Patrick Rothfuss,2007
The Wise Man's Fear,Patrick Rothfuss,2011
A Game of Thrones,George R.R. Martin,1996
A Clash of Kings,George R.R. Martin,1998
A Storm of Swords,George R.R. Martin,2000
A Feast for Crows,George R.R. Martin,2005
A Dance with Dragons,George R.R. Martin,2011
The Hunger Games,Suzanne Collins,2008
Catching Fire,Suzanne Collins,2009
Mockingjay,Suzanne Collins,2010
The Fault in Our Stars,John Green,2012
Looking for Alaska,John Green,2005
Paper Towns,John Green,2008
Twilight,Stephenie Meyer,2005
New Moon,Stephenie Meyer,2006
Eclipse,Stephenie Meyer,2007
Breaking Dawn,Stephenie Meyer,2008
The Girl with the Dragon Tattoo,Stieg Larsson,2005
The Girl Who Played with Fire,Stieg Larsson,2006
The Girl Who Kicked the Hornet's Nest,Stieg Larsson,2007
Gone Girl,Gillian Flynn,2012
Sharp Objects,Gillian Flynn,2006
The Silent Patient,Alex Michaelides,2019
The Kite Runner,Khaled Hosseini,2003
A Thousand Splendid Suns,Khaled Hosseini,2007
The Book Thief,Markus Zusak,2005
Life of Pi,Yann Martel,2001
The Martian,Andy Weir,2011
Project Hail Mary,Andy Weir,2021
Ready Player One,Ernest Cline,2011
The Handmaid's Tale,Margaret Atwood,1985
Oryx and Crake,Margaret Atwood,2003
The Testaments,Margaret Atwood,2019
Dracula,Bram Stoker,1897
Frankenstein,Mary Shelley,1818
The Picture of Dorian Gray,Oscar Wilde,1890
The Stranger,Albert Camus,1942
The Plague,Albert Camus,1947
Siddhartha,Hermann Hesse,1922
Steppenwolf,Hermann Hesse,1927
The Old Man and the Sea,Ernest Hemingway,1952
For Whom the Bell Tolls,Ernest Hemingway,1940
The Sun Also Rises,Ernest Hemingway,1926
One Hundred Years of Solitude,Gabriel Garcia Marquez,1967
Love in the Time of Cholera,Gabriel García Márquez,1985
The Wind-Up Bird Chronicle,Haruki Murakami,1994
Norwegian Wood,Haruki Murakami,1987
Kafka on the Shore,Haruki Murakami,2002
1Q84,Haruki Murakami,2009
The Color Purple,Alice Walker,1982
Beloved,Toni Morrison,1987
Song of Solomon,Toni Morrison,1977
The Road to Character,David Brooks,2015
Atomic Habits,James Clear,2018
